Date,Open,High,Low,Close,Adj Close,Volume
2024-01-12,53.790001,53.846668,53.459999,53.773335,53.590813,13629000
2024-01-16,53.813332,54.133331,53.743332,53.943333,53.760235,17032500
2024-01-17,53.793331,53.996666,53.543331,53.689999,53.507763,14827800
2024-01-18,53.720001,54.463333,53.560001,54.413334,54.228642,18190500
2024-01-19,54.476665,54.523335,53.813332,54.126667,53.942947,19175400
2024-01-22,54.263332,54.316666,53.833332,54.130001,53.946270,13938300
2024-01-23,54.040001,54.283333,53.923332,54.266666,54.082474,12066600
2024-01-24,54.299999,54.356667,53.439999,53.500000,53.318409,22932900
2024-01-25,53.799999,54.290001,53.473331,54.279999,54.095760,16369500
2024-01-26,54.349998,54.793331,54.220001,54.756668,54.570812,15746400
2024-01-29,54.783333,55.136665,54.506668,55.013332,54.826603,18240300
2024-01-30,54.900002,55.270000,54.540001,55.196667,55.009315,15270000
2024-01-31,55.933334,55.933334,55.036667,55.083332,54.896366,26134800
2024-02-01,55.233334,56.116669,55.060001,56.103333,55.912903,20792700
2024-02-02,56.049999,56.860001,55.973331,56.523335,56.331482,21670800
2024-02-05,56.669998,56.669998,56.023335,56.220001,56.029175,19145100
2024-02-06,56.263332,56.650002,56.113335,56.603333,56.411205,14181300
2024-02-07,56.756668,56.886665,56.400002,56.459999,56.268360,17082600
2024-02-08,56.459999,56.849998,56.380001,56.456669,56.265041,14427900
2024-02-09,56.463333,56.576668,56.306667,56.426666,56.235142,14329800
2024-02-12,56.410000,56.786667,56.349998,56.766666,56.573986,14795100
2024-02-13,56.873333,57.023335,56.090000,56.380001,56.188633,18574200
2024-02-14,56.250000,56.293331,55.846668,56.200001,56.009243,18484500
2024-02-15,56.599998,56.616669,55.990002,56.430000,56.238464,16948800
2024-02-16,56.763332,57.310001,56.430000,56.786667,56.593918,22373400
2024-02-20,59.493332,60.450001,58.410000,58.619999,58.421028,71788500
2024-02-21,58.333332,58.526669,57.599998,57.900002,57.703476,40551600
2024-02-22,57.959999,58.490002,57.770000,58.470001,58.271538,29512800
2024-02-23,58.696667,59.216667,58.436668,58.520000,58.321369,74365800
2024-02-26,59.119999,59.840000,58.180000,59.599998,59.397701,32154800
2024-02-27,59.639999,59.799999,59.220001,59.590000,59.387737,18012700
2024-02-28,59.549999,59.759998,59.310001,59.619999,59.417633,14803300
2024-02-29,59.450001,59.490002,58.590000,58.610001,58.411064,29245100
2024-03-01,58.799999,58.849998,58.200001,58.759998,58.560551,19017700
2024-03-04,58.500000,59.389999,58.400002,59.299999,59.098721,16033300
2024-03-05,59.869999,60.340000,59.580002,60.040001,59.836212,19676900
2024-03-06,60.119999,60.619999,60.040001,60.570000,60.364410,12698700
2024-03-07,61.000000,61.070000,60.349998,60.360001,60.155125,16195300
2024-03-08,60.000000,60.279999,59.730000,60.119999,59.915936,12132000
2024-03-11,60.099998,60.709999,59.869999,60.660000,60.454105,14154000
2024-03-12,60.950001,61.570000,60.650002,61.410000,61.201561,16613100
2024-03-13,61.259998,61.459999,60.880001,61.279999,61.071999,15935200
2024-03-14,61.279999,61.439999,60.599998,61.020000,61.020000,16584700
2024-03-15,60.680000,61.150002,60.459999,60.680000,60.680000,50904600
2024-03-18,60.689999,60.900002,60.389999,60.860001,60.860001,16801700
2024-03-19,60.970001,61.070000,60.599998,60.869999,60.869999,12353600
2024-03-20,60.840000,61.279999,60.740002,61.250000,61.250000,12007600
2024-03-21,61.279999,61.660000,61.049999,61.450001,61.450001,14265900
2024-03-22,61.320000,61.529999,60.849998,60.869999,60.869999,14025400
2024-03-25,60.869999,60.990002,60.360001,60.570000,60.570000,14186600
2024-03-26,60.459999,60.830002,60.230000,60.509998,60.509998,13738300
2024-03-27,60.869999,61.049999,60.380001,60.720001,60.720001,14363400
2024-03-28,60.660000,60.770000,60.160000,60.169998,60.169998,17535100
2024-04-01,60.310001,60.759998,59.930000,60.000000,60.000000,13837600
2024-04-02,59.900002,60.099998,58.880001,59.160000,59.160000,19510100
2024-04-03,59.380001,59.500000,58.939999,59.430000,59.430000,14615100
2024-04-04,59.540001,59.810001,59.290001,59.500000,59.500000,14436100
2024-04-05,59.549999,60.040001,59.490002,59.849998,59.849998,10332300
2024-04-08,59.599998,60.040001,59.419998,59.779999,59.779999,11070100
2024-04-09,59.869999,59.970001,59.299999,59.790001,59.790001,10015900
2024-04-10,59.619999,60.759998,59.389999,60.619999,60.619999,15097600
2024-04-11,60.750000,60.889999,60.070000,60.090000,60.090000,10987600
2024-04-12,60.000000,60.720001,59.950001,60.139999,60.139999,12278100
2024-04-15,60.509998,60.700001,59.910000,59.930000,59.930000,10557200
2024-04-16,60.029999,60.290001,59.779999,59.840000,59.840000,14726300
2024-04-17,60.150002,60.430000,59.570000,59.650002,59.650002,15329700
2024-04-18,59.830002,59.939999,59.220001,59.259998,59.259998,12061500
2024-04-19,59.450001,59.669998,58.970001,59.529999,59.529999,14160200
2024-04-22,59.560001,60.400002,59.040001,60.139999,60.139999,14910000
2024-04-23,60.250000,60.349998,58.560001,59.090000,59.090000,17963900
2024-04-24,58.980000,60.040001,58.810001,59.869999,59.869999,18529100
2024-04-25,60.049999,60.529999,59.830002,60.209999,60.209999,19263000
2024-04-26,60.110001,60.389999,60.000000,60.160000,60.160000,11038900
